LMPR02010034	3-decaprenyl-4,5-dihydroxybenzoic acid	834.652610
LMPR0104280001	Verrucosanene	272.250400
LMPR0102070035	Iridodial glucoside	330.167855
LMPR0104050017	Lophachinin A	348.193675
LMPR0104010031	24:2(5Z,9Z)(11Me,15Me,19Me,23Me)	420.396730
CA01130	(5Z)-Lycopene	536.848 g/mol
LMPR01090041	11Z-6s-cis-fixed bicyclic retinal	282.198365
LMPR0105020003	C25:3 Monocyclic highly branched isoprenoid	344.344300
CA01234	6'-Epimonadoxanthin	566.832 g/mol
CA00237	2-Hydroxy-monocyclophytoene	560.912 g/mol
LMPR0104090001	(-)-Cassaic acid	334.214410
LMPR03020007	all-trans decaprenyl phosphate	778.602898
CA00984	(2S,5S,6R)-2,6-cyclolycopene-1-methoxy-5-ol	584.89 g/mol
CA00314	Anhydroeschscholtzxanthin	530.8 g/mol
CA00298	δ-Carotene	536.848 g/mol
CA00516	2,2'-Dihydroxyastaxanthin	628.816 g/mol
LMPR0106240005	Myrrhanone B	472.355260
CA00974	β-Cryptoxanthin myristate	789.232 g/mol
LMPR0102070031	11-Hydroxyiridodial glucoside pentaacetate	556.215595
LMPR0103370004	Proversilin B	455.230789
LMPR01070117	3-Hydroxy-beta-zeacarotene/ 3-OH-beta-Zeacarotene	554.448765
CA00100	Methoxyspheroidene	600.932 g/mol
LMPR01070017	Adonixanthin 3-glucoside	744.460120
CA00584	β-Carotenone	600.848 g/mol
LMPR0106010036	7-hydroperoxy-squalene	442.381080
CA00828	Apo-12-fucoxanthinal	424.558 g/mol
CA01017	Annuionone F	226.306 g/mol
CA00065	(9Z,9'Z)-ζ-Carotene	542.896 g/mol
LMPR0102070019	Deoxyloganin tetraacetate	542.199945
CA00044	Prolycopene	536.848 g/mol
LMPR01070462	zeta-Carotene epoxide	556.464415
LMPR0103600002	(+)-2-Sterpurene-6-ol	220.182715
CA00659	Tilefishxanthin II	582.832 g/mol
CA00416	Violaxanthin	600.848 g/mol
CA00675	Anhydroperidinin	612.774 g/mol
LMPR01070367	Mactraxanthin 3,3'-dipalmitate	1112.898320
LMPR0104260001	Cyrneine A	316.203845
LMPR0104330012	Stelleracin B	618.319270
LMPR0103670002	Laurencenone A	332.054254
LMPR0104150002	3beta-(3-methyl-butanoyloxy)-villanovane-13alpha,17-diol	438.298140
CA00739	Capsanthin	584.848 g/mol
LMPR01090022	9-cis-retinoic acid	300.208930
CA00689	Tunaxanthin B	568.848 g/mol
CA01055	(2S,5S,6R)-plinol	154.244 g/mol
CA00455	Pittosporumxanthin C2	1029.522 g/mol
CA00230	Myxol 2'-rhamnoside	730.988 g/mol
LMPR0102090045	alpha-Terpinyl acetate	196.146330
LMPR0106040009	Cephalosporin P1	574.350570
LMPR01070364	Fucoxanthinol 3-gondoate 3'-palmitate	1146.919055
LMPR0102090022	(+)-beta-Phellandrene	136.125200
LMPR01070142	4,4'-Diapo-zeta-carotene	404.344300
LMPR0106150070	Barringtogenol C	490.365825
LMPR03030006	all-trans-heptaprenyl diphosphate	654.381431
LMPR0106150064	QS-21 Xylose isomer	1988.924190
CA00602	(13'Z,3R,3'R,6'R)-Lutein	582.874 g/mol
LMPR0104350002	Periconicin A	316.203845
CA00371	(2S)-2-Hydroxy-β-carotene	552.848 g/mol
LMPR02010039	Dihydromenaquinone-8	718.568880
LMPR0102070011	(+)-Iridodial	168.115030
LMPR0104080005	ent-pimara-9(11),15-diene	272.250400
LMPR0104040007	NA	304.203845
CA01232	3-Methoxy-3'-hydroxyleprotene	574.81 g/mol
LMPR0102060003	(-)-cis-chrysanthemic acid	168.115030
LMPR01070011	alpha-Carotene	536.438200
LMPR0106150053	Arenaroside D	1120.566560
LMPR0102090036	(1S,4R)-Iso-dihydrocarvone	152.120115
LMPR01070417	Dihydroxylycopene	568.428030
LMPR0106010038	Diepoxysqualene	442.381080
LMPR0104280002	Verrucosan-2b-ol	290.260965
LMPR0106100001	Azadirachtin A	720.262940
CA00292	β-Apo-2'-carotenal	508.754 g/mol
LMPR01070074	4,4'-Dihydroxydiatoxanthin	598.402210
CA00898	Crocin	976.952 g/mol
LMPR0105020004	C25 Monocyclic highly branched isoprenoid	350.391250
CA00511	4-Ketonostoxanthin	614.832 g/mol
LMPR0104010008	Phytyl diphosphate	456.240581
LMPR0104400002	Isotrinerviol	288.245315
CA00361	Zeaxanthin monorhamnoside	714.988 g/mol
CA00876	Abscisic acid glucose ester	426.45 g/mol
CA00328	Zeaxanthin	568.848 g/mol
CA00107	Lycopanerols B	1410.412 g/mol
CA01088	Nor-peridinin2	630.79 g/mol
LMPR0106150019	3-Epikatonic acid	456.360345
LMPR0103090026	Elephantopinolide I	360.120905
LMPR0104230007	Solenolide F	408.214805
LMPR0103370008	Ustusal A	252.172545
CA00575	2-Norastaxanthin	582.79 g/mol
LMPR01090009	9-cis-retinol	286.229665
LMPR01070103	Ketomyxol	598.402210
CA00468	3-Oxoechinenone	564.816 g/mol
LMPR02020090	R-Chinensen F	466.308310
LMPR0103090014	Tomenphantin A	348.157290
CA01018	Annuionone G	242.306 g/mol
LMPR01070584	1'-Hydroxy-4-keto-gamma-carotene glucoside hexadecanoate	968.710520
