key,num,numz,dynamic_time_warping,cosine_similarity_distance,pearson_correlation,manhattan_distance,euclidean_distance,tanimoto_similarity
LMPR02010034_C,10,45,145.8212,0.3327,-0.1891,3061.1258,597.509,0.2222
LMPR0104280001_C,4,42,143.7049,0.1853,-0.2542,2498.854,507.3457,0.0952
LMPR0102070035_C,5,37,120.3025,0.27,-0.1936,2392.0843,497.937,0.1351
LMPR0104050017_C,4,43,186.226,0.051,-0.4784,2955.7568,576.0176,0.093
LMPR0104010031_C,8,43,169.2174,0.3394,-0.0401,2311.7269,496.5425,0.186
CA01130_C,13,39,98.3353,0.6073,0.2376,1952.341,457.6109,0.3333
LMPR01090041_C,9,38,172.8636,0.3105,-0.2129,2646.4548,570.6024,0.2368
LMPR0105020003_C,7,45,128.5577,0.2185,-0.2587,2744.2086,539.5107,0.1556
CA01234_C,19,47,83.8945,0.5509,0.1012,2576.0456,538.852,0.4043
CA00237_C,13,45,92.8745,0.6026,0.296,1991.4319,437.0481,0.2889
LMPR0104090001_C,6,41,355.6177,0.0343,-0.5136,3053.3062,608.1798,0.1463
LMPR03020007_C,10,37,58.9965,0.3969,-0.0531,2194.9413,491.1426,0.2703
CA00984_C,17,47,56.2096,0.5991,0.2265,2388.9486,508.3616,0.3617
CA00314_C,14,34,109.0731,0.7002,0.3692,1452.1777,393.4375,0.4118
CA00298_C,17,46,51.8301,0.6359,0.2948,2214.1192,488.0276,0.3696
CA00516_C,10,37,164.1137,0.5688,0.2088,1944.4722,465.441,0.2703
LMPR0106240005_C,12,45,172.8784,0.3304,-0.1202,2601.8783,552.3509,0.2667
CA00974_C,17,52,98.9716,0.5926,0.2857,2261.8659,483.7144,0.3269
LMPR0102070031_C,1,53,345.9498,0.0034,-0.5257,4145.9942,691.8776,0.0189
LMPR0103370004_C,4,48,227.3418,0.1462,-0.3608,3472.3084,636.3717,0.0833
LMPR01070117_C,19,46,46.2703,0.6061,0.2257,2281.3492,499.0635,0.413
CA00100_C,17,49,58.6546,0.5889,0.2241,2508.5188,517.2869,0.3469
LMPR01070017_C,14,49,153.6838,0.5186,0.0997,2819.0752,562.7331,0.2857
CA00584_C,9,38,206.7345,0.4317,0.0129,2324.0243,534.0487,0.2368
LMPR0106010036_C,12,46,95.5424,0.395,-0.0511,2608.6301,531.8623,0.2609
CA00828_C,13,41,223.2435,0.3886,-0.1523,2745.8539,596.2565,0.3171
CA01017_C,6,35,169.2559,0.2482,-0.1921,2333.7277,519.5399,0.1714
CA00065_C,13,35,87.4079,0.6583,0.3588,1495.3828,390.5593,0.3714
LMPR0102070019_C,2,51,392.5245,0.0148,-0.5282,4002.9825,686.4468,0.0392
